,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
18,2018-02-15,304,6646.766666666666,21.936523652365235,26.10921052631579,18.1,29.8,1012.0421052631579,54.76315789473684
19,2018-02-16,276,5970.683333333333,21.71157575757576,25.65833333333333,18.6,29.6,1012.7597826086957,60.66304347826087
20,2018-02-17,219,8163.2,37.27488584474886,26.636529680365296,18.6,29.7,1010.7826484018265,58.141552511415526
21,2018-02-18,168,7719.733333333334,45.95079365079365,23.97202380952381,19.3,28.2,1010.4273809523809,70.47619047619048
22,2018-02-19,302,5900.133333333333,19.536865342163356,23.826490066225166,19.2,27.5,1009.1695364238411,76.76158940397352
23,2018-02-20,316,5887.15,18.63022151898734,23.72373417721519,19.3,27.1,1009.2632911392406,79.25
24,2018-02-21,206,3517.0333333333333,17.156260162601626,23.450485436893207,19.2,27.0,1009.9121359223301,79.64563106796116
25,2018-02-22,271,6224.333333333333,22.9680196801968,23.430258302583027,19.4,25.9,1009.1630996309964,82.69003690036901
26,2018-02-23,258,7512.95,29.119961240310076,23.304651162790694,19.1,25.9,1010.0054263565892,79.57364341085271
27,2018-02-24,183,5565.466666666666,30.579487179487177,23.995628415300544,18.6,28.1,1010.1677595628416,74.8743169398907
28,2018-02-25,218,10373.733333333334,47.58593272171254,24.00045871559633,19.1,27.8,1010.4908256880734,76.85779816513761
29,2018-02-26,260,7002.933333333333,26.934358974358975,24.228076923076923,19.1,26.4,1010.9526923076924,76.20769230769231
30,2018-02-27,306,5737.366666666667,18.749564270152504,25.51437908496732,19.1,28.5,1010.8503267973856,70.66993464052288
31,2018-02-28,331,6102.483333333334,18.4365055387714,26.1392749244713,19.2,29.2,1009.6145015105741,67.27190332326283
32,2018-03-01,296,0.0,,26.3902027027027,18.6,31.2,1010.556418918919,64.18243243243244
33,2018-03-02,298,0.0,,26.795973154362414,18.5,30.2,1011.2557046979866,61.75167785234899
34,2018-03-03,240,999.6,999.6,26.9175,18.9,30.2,1009.56125,64.88333333333334
35,2018-03-04,285,0.0,,26.81578947368421,19.1,30.8,1007.7764912280701,64.64912280701755
36,2018-03-05,343,1421.1333333333334,710.5666666666667,27.215743440233236,19.6,30.3,1006.9218658892129,66.12827988338192
37,2018-03-06,392,998.8333333333334,499.4166666666667,26.64719387755102,19.3,30.6,1007.3961734693877,65.66071428571429
38,2018-03-07,370,1490.5,745.25,25.53081081081081,19.5,30.0,1007.9208108108108,71.43783783783783
39,2018-03-08,260,755.3666666666667,755.3666666666667,24.28076923076923,19.7,28.9,1008.6853846153847,78.95384615384616
40,2018-03-09,210,0.0,,22.94047619047619,19.6,27.2,1009.8704761904761,86.13333333333334
41,2018-03-10,195,0.0,,23.745641025641024,19.4,26.3,1009.5769230769231,81.73333333333333
42,2018-03-11,159,0.0,,23.984905660377358,19.8,26.4,1009.1176100628929,82.0754716981132
43,2018-03-12,291,0.0,,23.936082474226804,19.4,27.9,1008.5797250859107,79.03436426116839
44,2018-03-13,397,928.2666666666667,464.1333333333333,25.851385390428213,19.0,29.6,1007.9622166246851,71.90176322418137
45,2018-03-14,367,1473.5,736.75,25.870844686648503,19.1,29.2,1009.5193460490462,72.64577656675749
46,2018-03-15,341,1062.5,531.25,25.51466275659824,19.0,29.2,1010.808211143695,73.92375366568915
47,2018-03-16,310,68.91666666666667,68.91666666666667,25.998709677419352,18.8,30.4,1010.0174193548388,68.96129032258065
